Title,URL,Reporting guideline acronym,Study design,Clinical area,Language,Reporting guideline provided for?,Applies to the whole report or to individual sections of the report?,Full bibliographic reference,PubMed ID,DOI,Date of publication / Ahead of print date,Reporting guideline website URL,Relevant URLs(full-text if available),Explanation and elaboration papers,Availability in additional languages,Relevant more generic / specialised reporting guidelines,Previous versions of this guideline / Guideline history,Additional information,Other,Selected relevant editorials,"Other relevant research(i.e. research regarding the guideline's effectiveness usability, impact etc.)",Primary guideline publication,Taxonomy terms,Record last updated on,Downloadable files (name|url),Equator-hosted files count
Standards for Reporting Implementation Studies (StaRI) Statement,https://www.equator-network.org/reporting-guidelines/stari-statement/,StaRI,"Clinical trials, Economic evaluations, Experimental studies, Mixed methods studies, Observational studies, Qualitative research, Quality improvement studies",,English,"Reporting of implementation studies, employing a range of study designs to develop and evaluate implementation strategies with the aim of enhancing adoption and sustainability of effective interventions. StaRI checklist (Word)",Whole report,"Pinnock H, Barwick M, Carpenter CR, Eldridge S, Grandes G, Griffiths CJ, Rycroft-Malone J, Meissner P, Murray E, Patel A, Sheikh A, Taylor SJC, for the StaRI group. Standards for Reporting Implementation Studies (StaRI) statement. BMJ. 2017;356:i6795.",28264797,,,,The StaRI Statement is freely available to access at: http://www.bmj.com/content/356/bmj.i6795.full,"Pinnock H, Barwick M, Carpenter CR, Eldrige S, Grandes G, Griffiths CJ, Rycroft-Malone J, Meissner P, Murray E, Patel A, Sheikh A, Taylor S, for the StaRI group. Standards for Reporting Implementation Studies (StaRI): Explanation and Elaboration document. BMJ Open. 2017;7:e013318. PMID: 28373250",,"Specialised RIMES-SE: Smith MY, Morrato EH, Mora N, Nguyen V, Pinnock H, Winterstein AG. The Reporting Recommendations Intended for Pharmaceutical Risk Minimization Evaluation Studies: Standards for Reporting of Implementation Studies Extension (RIMES-SE). Drug Saf. 2024. PMID: 38478350",,Read the StaRI guideline development proposal document (PDF).,Read a guide (PDF) to reporting guidelines relevant to implementation studies developed by researchers in the Centre for Implementation Science at King’s College London and King’s Improvement Science and led by the National Institute for Health Research Applied Research Collaboration South London (NIHR ARC South London) at King’s College Hospital NHS Foundation Trust and supported by King’s Improvement Science.,,,,,"June 12, 2024",StaRI checklist (Word)|https://www.equator-network.org/wp-content/uploads/2017/01/StaRI-checklist-for-author-completion.docx ; Read a guide (PDF)|https://arc-sl.nihr.ac.uk/sites/default/files/uploads/files/Imp-Sci-reporting-guidelines-2023.pdf ; guideline development proposal document (PDF)|https://www.equator-network.org/wp-content/uploads/2013/09/Proposal-for-reporting-guidelines-of-Implementation-Research-StaRI.pdf,2
STARD-BLCM : Standards for the Reporting of Diagnostic accuracy studies that use Bayesian Latent Class Models,https://www.equator-network.org/reporting-guidelines/stard-blcm/,STARD-BLCM,"Diagnostic and prognostic studies, Experimental studies, Observational studies",,English,"Reporting on the design, conduct and results of diagnostic accuracy studies that use Bayesian latent class models. STARD-BLCM Checklist (Word)",Whole report,"Kostoulas P, Nielsen SS, Branscum AJ, Johnson WO, Dendukuri N, Dhand NK, Toft N, Gardner IA. STARD-BLCM: Standards for the Reporting of Diagnostic accuracy studies that use Bayesian Latent Class Models. Prev Vet Med. 2017; 138:37-47.",28237234,,,,Access the STARD-BLCM reporting guideline abstract at: http://www.sciencedirect.com/science/article/pii/S0167587717300284,,,"Generic STARD: Bossuyt PM, Reitsma JB, Bruns DE, Gatsonis CA, Glasziou PP, Irwig L, LijmerJG Moher D, Rennie D, de Vet HCW, Kressel HY, Rifai N, Golub RM, Altman DG, Hooft L, Korevaar DA, Cohen JF, For the STARD Group. STARD 2015: An Updated List of Essential Items for Reporting Diagnostic Accuracy Studies. BMJ 2015;351:h5527. PMID: 26511519 Radiology. 2015:151516. PMID: 26509226 Clinical Chemistry 2015. pii: clinchem.2015.246280. PMID: 26510957 Specialised STARDdem: Noel-Storr AH, McCleery JM, Richard E, Ritchie CW, Flicker L, Cullum SJ, Davis D, Quinn TJ, Hyde C, Rutjes AW, Smailagic N, Marcus S, Black S, Blennow K, Brayne C, Fiorivanti M, Johnson JK, Köpke S, Schneider LS, Simmons A, Mattsson N, Zetterberg H, Bossuyt PM, Wilcock G, McShane R. Reporting standards for studies of diagnostic test accuracy in dementia: The STARDdem Initiative. Neurology. 2014;83(4):364-373. PMID: 24944261 STRADAS-paraTB: Gardner IA, Nielsen SS, Whittington RJ, Collins MT, Bakker D, Harris B, Sreevatsan S, Lombard JE, Sweeney R, Smith DR, Gavalchin J, Eda S. Consensus-based reporting standards for diagnostic test accuracy studies for paratuberculosis in ruminants. Prev Vet Med. 2011;101(1-2):18-34. PMID: 21601933 STARD for Abstracts: Cohen JF, Korevaar DA, Gatsonis CA, Glasziou PP, Hooft L, Moher D, Reitsma JB, de Vet HC, Bossuyt PM; STARD Group. STARD for Abstracts: essential items for reporting diagnostic accuracy studies in journal or conference abstracts. BMJ. 2017;358:j3751. PMID: 28819063",,,,,,,,"November 25, 2021",STARD-BLCM Checklist (Word)|https://www.equator-network.org/wp-content/uploads/2017/02/STARD-BLCM-Checklist.docx,1
Making economic evaluations more helpful for treatment choices in haemophilia,https://www.equator-network.org/reporting-guidelines/making-economic-evaluations-more-helpful-for-treatment-choices-in-haemophilia/,,Economic evaluations,Haematology,English,Reporting and conduct of economic evaluations within haemophilia.,"Procedure/Method, Results, Statistical methods and analyses","Drummond M, Houwing N, Slothuus U, Giangrande P. Making economic evaluations more helpful for treatment choices in haemophilia. Haemophilia. 2017.",28111847,,,,,,,,,,,,,,,"March 6, 2017",,0
The REFLECT statement: methods and processes of creating reporting guidelines for randomized controlled trials for livestock and food safety by modifying the CONSORT statement,https://www.equator-network.org/reporting-guidelines/the-reflect-statement-methods-and-processes-of-creating-reporting-guidelines-for-randomized-controlled-trials-for-livestock-and-food-safety-by-modifying-the-consort-statement/,REFLECT,,,English,Reporting randomised controlled trials for livestock and food safety,Whole report,"O'Connor AM, Sargeant JM, Gardner IA, Dickson JS, Torrence ME, Consensus Meeting Participants, Dewey CE, Dohoo IR, Evans RB, Gray JT, Greiner M, Keefe G, Lefebvre SL, Morley PS, Ramirez A, Sischo W, Smith DR, Snedeker K, Sofos J, Ward MP, Wills R. The REFLECT statement: methods and processes of creating reporting guidelines for randomized controlled trials for livestock and food safety by modifying the CONSORT statement. This guideline was published simultaneously in 4 journals. You can read the guideline in any of these journals using the links below. Zoonoses Public Health. 2010;57(2):95-104. PMID: 20070653 J Food Prot. 2010;73(1):132-139. PMID: 20051216 J Vet Intern Med. 2010;24(1):57-64. PMID: 20002546 Prev Vet Med. 2010;93(1):11-18. PMID: 19926151",,,,,The REFLECT statement 22-item checklist is available to download from the Meridian Network website.,"Sargeant JM, O'Connor AM, Gardner IA, Dickson JS, Torrence ME; Consensus Meeting Participants. The REFLECT statement: reporting guidelines for randomized controlled trials in livestock and food safety: explanation and elaboration. Zoonoses Public Health. 2010;57(2):105-136. PMID: 20070652 Sargeant JM, O'Connor AM, Gardner IA, Dickson JS, Torrence ME, Dohoo IR, Lefebvre SL, Morley PS, Ramirez A, Snedeker K. The REFLECT statement: reporting guidelines for randomized controlled trials in livestock and food safety: explanation and elaboration. J Food Prot. 2010;73(3):579-603. PMID: 20202349",The REFLECT statement checklist is available to download in Spanish and French from the Meridian Network website. Visit our translations page to find out what other reporting guidelines are available in languages other than English: reporting guideline translations,,,,,,,,,"February 21, 2025",,0
Development of the Anatomical Quality Assurance (AQUA) Checklist: guidelines for reporting original anatomical studies,https://www.equator-network.org/reporting-guidelines/development-of-the-anatomical-quality-assurance-aqua-checklist-guidelines-for-reporting-original-anatomical-studies/,AQUA,Observational studies,"Pathology, Radiology, Surgery",English,Reporting original anatomical studies AQUA checklist PDF / Word,Whole report,"Tomaszewski KA, Henry BM, Ramakrishnan PK, Roy J, Vikse J, Loukas M, Tubbs RS, Walocha JA. Development of the Anatomical Quality Assurance (AQUA) Checklist: guidelines for reporting original anatomical studies. Clin Anat. 2016.",27801507,,,http://www.eba.cm.uj.edu.pl/aqua,The AQUA checklist is freely available from: http://www.eba.cm.uj.edu.pl/about-aqua,,"The AQUA checklist is also available in French (PDF), Spanish (PDF) and Polish (PDF).",,,"The AQUA reporting guideline development team have also produced consensus guidelines specifically for reporting study ethics in anatomical research within the framework of the AQUA checklist (relating to checklist items 6, 16 and 17): Henry BM, Vikse J, Pekala P, Loukas M, Tubbs RS, Walocha JA, Jones DG, Tomaszewski KA. Consensus guidelines for the uniform reporting of study ethics in anatomical research within the framework of the anatomical quality assurance (AQUA) checklist. Clin Anat. 2018;31(4):521-524. PMID: 29532521",,,,,,"November 26, 2021",,0
Preferred Reporting Of Case Series in Surgery (PROCESS) 2023 guidelines,https://www.equator-network.org/reporting-guidelines/preferred-reporting-of-case-series-in-surgery-the-process-guidelines/,PROCESS,Observational studies,Surgery,English,Reporting surgical case series.,Whole report,"Mathew G, Sohrabi C, Franchi T, Nicola M, Kerwan A, Agha R; PROCESS Group. Preferred Reporting Of Case Series in Surgery (PROCESS) 2023 guidelines. Int J Surg. 2023;109(12):3760-3769.",37988417,,,http://www.processguideline.com/,,,,,"The PROCESS reporting guideline was originally published in 2016 and updated in 2018 and 2020. 2016 Agha RA, Fowler AJ, Rajmohan S, Barai I, Orgill DP; PROCESS Group. Preferred reporting of case series in surgery; the PROCESS guidelines. Int J Surg. 2016;36 (Pt A):319-323. PMID: 27770639 2018 update Agha RA, Borrelli MR, Farwana R, Koshy K, Fowler A, Orgill DP; SCARE Group. The PROCESS 2018 Statement: Updating Consensus Preferred Reporting Of CasE Series in Surgery (PROCESS) Guidelines. Int J Surg. 2018. PMID: 30359781 2020 update Agha RA, Sohrabi C, Mathew G, Franchi T, Kerwan A, O'Neill N; PROCESS Group. The PROCESS 2020 Guideline: Updating Consensus Preferred Reporting Of CasE Series in Surgery (PROCESS) Guidelines. Int J Surg. 2020:S1743-9191(20)30779-2. PMID: 33189880",,,,,,,"February 2, 2024",,0
Guidance on Conducting and REporting DElphi Studies (CREDES) in palliative care: Recommendations based on a methodological systematic review,https://www.equator-network.org/reporting-guidelines/credes/,CREDES,Clinical practice guidelines,Palliative care,English,Reporting of Delphi studies in the context of studies using the Delphi technique for the development of best practice guidance in palliative care.,Procedure/Method,"Jünger S, Payne SA, Brine J, Radbruch L, Brearley SG. Guidance on Conducting and REporting DElphi Studies (CREDES) in palliative care: Recommendations based on a methodological systematic review. Palliative Medicine. 2017;31(8):684-706.",28190381,,,,,,,,,A blog post about CREDES is available on the European Association of Palliative Care website.,,,,,,"October 20, 2022",,0
CONSISE statement on the reporting of Seroepidemiologic Studies for influenza (ROSES-I statement): an extension of the STROBE statement,https://www.equator-network.org/reporting-guidelines/roses-i-statement/,ROSES-I,Observational studies,Infectious diseases,English,Reporting influenza seroepidemiologic studies.,Whole report,"Horby PW, Laurie KL, Cowling BJ, Engelhardt OG, Sturm-Ramirez K, Sanchez JL, Katz JM, Uyeki TM, Wood J, Van Kerkhove MD; CONSISE Steering Committee. CONSISE statement on the reporting of Seroepidemiologic Studies for influenza (ROSES-I statement): an extension of the STROBE statement. Influenza Other Respir Viruses. 2016 Jul 15.",27417916,,,,,,,"Generic STROBE: von Elm E, Altman DG, Egger M, Pocock SJ, Gotzsche PC, Vandenbroucke JP. The Strengthening the Reporting of Observational Studies in Epidemiology (STROBE) Statement: guidelines for reporting observational studies. Ann Intern Med. 2007;147(8):573-577. PMID: 17938396 PLoS Med. 2007;4(10):e296. PMID: 17941714 BMJ. 2007;335(7624):806-808. PMID: 17947786 Prev Med. 2007;45(4):247-251. PMID: 17950122 Epidemiology. 2007;18(6):800-804. PMID: 18049194 Lancet. 2007;370(9596):1453-1457. PMID: 18064739 Specialised STREGA: Little J, Higgins JP, Ioannidis JP, Moher D, Gagnon F, von Elm E, Khoury MJ, Cohen B, Davey-Smith G, Grimshaw J, Scheet P, Gwinn M, Williamson RE, Zou GY, Hutchings K, Johnson CY, Tait V, Wiens M, Golding J, van Duijn C, McLaughlin J, Paterson A, Wells G, Fortier I, Freedman M, Zecevic M, King R, Infante-Rivard C, Stewart A, Birkett N; STrengthening the REporting of Genetic Association Studies. STrengthening the REporting of Genetic Association Studies (STREGA): An Extension of the STROBE Statement. PLoS Med. 2009;6(2):e22. PMID: 19192942 Hum Genet. 2009;125(2):131-151. PMID: 19184668 Eur J Epidemiol. 2009;24(1):37-55. PMID: 19189221 Ann Intern Med. 2009;150(3):206-215. PMID: 19189911 J Clin Epidemiol. 2009;62(6):597-608.e4. PMID: 19217256 Genet Epidemiol. 2009;33(7):581-598. PMID: 19278015 Eur J Clin Invest. 2009;39(4):247-266. PMID: 19297801 STROBE-ME: Gallo V, Egger M, McCormack V, Farmer PB, Ioannidis JP, Kirsch-Volders M, Matullo G, Phillips DH, Schoket B, Stromberg U, Vermeulen R, Wild C, Porta M, Vineis P. STrengthening the Reporting of OBservational studies in Epidemiology - Molecular Epidemiology (STROBE-ME): An extension of the STROBE statement. Eur J Clin Invest. 2012;42(1):1-16. PMID: 22023344 STROBE checklist for conference abstracts First draft of the STROBE checklist of items to be included when reporting observational studies in conference abstracts. Link to full text pdf STROME-ID: Field N, Cohen T, Struelens MJ, Palm D, Cookson B, Glynn JR, Gallo V, Ramsay M, Sonnenberg P, Maccannell D, Charlett A, Egger M, Green J, Vineis P, Abubakar I. Strengthening the Reporting of Molecular Epidemiology for Infectious Diseases (STROME-ID): an extension of the STROBE statement. Lancet Infect Dis. 2014. pii: S1473-3099(13)70324-4. doi: 10.1016/S1473-3099(13)70324-4. PMID: 24631223 Longitudinal observational drug studies in rheumatology: Zavada J, Dixon WG, Askling J. Launch of a checklist for reporting longitudinal observational drug studies in rheumatology: a EULAR extension of STROBE guidelines based on experience from biologics registries. Ann Rheum Dis. 2014;73(3):628. PMID: 24058015 Case-cohort studies: Sharp SJ, Poulaliou M, Thompson SG, White IR, Wood AM. A review of published analyses of case-cohort studies and recommendations for future reporting. PLoS One. 2014;9(6):e101176. PMID: 24972092 STROBE-RDS: White RG, Hakim AJ, Salganik MJ, Spiller MW, Johnston LG, Kerr L, Kendall C, Drake A, Wilson D, Orroth K, Egger M, Hladik W. Strengthening the Reporting of Observational Studies in Epidemiology for respondent-driven sampling studies: ""STROBE-RDS"" statement. J Clin Epidemiol. 2015 May 1. PMID: 26112433 RECORD: Benchimol EI, Smeeth L, Guttmann A, Harron K, Moher D, Petersen I, Sørensen HT, von Elm E, Langan SM; RECORD Working Committee. The REporting of studies Conducted using Observational Routinely-collected health Data (RECORD) Statement. PLoS Med. 2015;12(10):e1001885. PMID: 26440803 STROBE-AMS: Tacconelli E, Cataldo MA, Paul M, Leibovici L, Kluytmans J, Schröder W, Foschi F, De Angelis G, De Waure C, Cadeddu C, Mutters NT, Gastmeier P, Cookson B. STROBE-AMS: recommendations to optimise reporting of epidemiological studies on antimicrobial resistance and informing improvement in antimicrobial stewardship. BMJ Open. 2016;6(2):e010134. PMID: 26895985 STROBE-nut: Lachat C, Hawwash D, Ocké MC, Berg C, Forsum E, Hörnell A, Larsson C, Sonestedt E, Wirfält E, Åkesson A, Kolsteren P, Byrnes G, De Keyzer W, Van Camp J, Cade JE, Slimani N, Cevallos M, Egger M, Huybrechts I. Strengthening the Reporting of Observational Studies in Epidemiology—Nutritional Epidemiology (STROBE-nut): An Extension of the STROBE Statement. PLoS Med; 2016:13(6):e1002036. PMID: 27270749 Simulation Research: Cheng A, Kessler D, Mackinnon R, Chang TP, Nadkarni VM, Hunt EA, Duval-Arnould J, Lin Y, Cook DA, Pusic M, Hui J, Moher D, Egger M, Auerbach M; International Network for Simulation-based Pediatric Innovation, Research, and Education (INSPIRE) Reporting Guidelines Investigators. Reporting Guidelines for Health Care Simulation Research: Extensions to the CONSORT and STROBE Statements. Simul Healthc. 2016;11(4):238-248. PMID: 27465839 STROBE-NI: Fitchett EJA, Seale AC, Vergnano S, Sharland M, Heath PT, Saha SK, Agarwal R, Ayede AI, Bhutta ZA, Black R, Bojang K, Campbell H, Cousens S, Darmstadt GL, Madhi SA, Meulen AS, Modi N, Patterson J, Qazi S, Schrag SJ, Stoll BJ, Wall SN, Wammanda RD, Lawn JE, on behalf of the SPRING (Strengthening Publications Reporting Infection in Newborns Globally) Group. Strengthening the Reporting of Observational Studies in Epidemiology for Newborn Infection (STROBE-NI): an extension of the STROBE statement for neonatal infection research. Lancet Infect Dis. 2016;16(10):e202-13. PMID: 27633910 Propensity score analysis: Yao XI, Wang X, Speicher PJ, Hwang ES, Cheng P, Harpole DH, Berry MF, Schrag D, Pang HH. Reporting and Guidelines in Propensity Score Analysis: A Systematic Review of Cancer and Cancer Surgical Studies. J Natl Cancer Inst. 2017;109(8). PMID: 28376195 RECORD-PE: Langan SM, Schmidt SAJ, Wing K, Ehrenstein V, Nicholls SG, Filion KB, Klungel O, Petersen I, Sorensen HT, Dixon WG, Guttmann A, Harron K, Hemkens LG, Moher D, Schneeweiss S, Smeeth L, Sturkenboom M, von Elm E, Wang SV, Benchimol EI. The reporting of studies conducted using observational routinely collected health data statement for pharmacoepidemiology (RECORD-PE). BMJ 2018;363:k3532. STROBE-SIIS: International Olympic Committee Injury and Illness Epidemiology Consensus Group, Bahr R, Clarsen B, Derman W, Dvorak J, Emery CA, Finch CF, Hägglund M, Junge A, Kemp S, Khan KM, Marshall SW, Meeuwisse W, Mountjoy M, Orchard JW, Pluim B, Quarrie KL, Reider B, Schwellnus M, Soligard T, Stokes KA, Timpka T, Verhagen E, Bindra A, Budgett R, Engebretsen L, Erdener U, Chamari K. International Olympic Committee Consensus Statement: Methods for Recording and Reporting of Epidemiological Data on Injury and Illness in Sports 2020 (Including the STROBE Extension for Sports Injury and Illness Surveillance (STROBE-SIIS)). Br J Sports Med. 2020;54(7):372-389. PMID: 32071062 Orthop J Sports Med. 2020;8(2):2325967120902908. PMID: 32118084 STROBE-MR: Skrivankova VW, Richmond RC, Woolf BAR, Yarmolinsky J, Davies NM, Swanson SA, VanderWeele TJ, Higgins JPT, Timpson NJ, Dimou N, Langenberg C, Golub RM, Loder EW, Gallo V, Tybjaerg-Hansen A, Davey Smith G, Egger M, Richards JB. Strengthening the Reporting of Observational Studies in Epidemiology Using Mendelian Randomization: The STROBE-MR Statement. JAMA. 2021;326(16):1614-1621. PMID: 34698778",,,,,,,,"November 25, 2021",,0
Recommendations for improving the quality of reporting clinical electrochemotherapy studies based on qualitative systematic review,https://www.equator-network.org/reporting-guidelines/recommendations-for-improving-the-quality-of-reporting-clinical-electrochemotherapy-studies-based-on-qualitative-systematic-review/,,"Clinical trials, Experimental studies",Oncology,English,Reporting clinical trial results on electrochemotherapy,"Data, Ethical issues (consent etc.), Intervention (exposure), Outcomes (variables), Procedure/Method, Research recommendations, Results, Study characteristics (participants etc.)","Campana LG, Clover AJ, Valpione S, Quaglino P, Gehl J, Kunte C, Snoj M, Cemazar M, Rossi CR, Miklavcic D, Sersa G. Recommendations for improving the quality of reporting clinical electrochemotherapy studies based on qualitative systematic review. Radiol Oncol. 2016;50(1):1-13.",27069444,,,,,,,,,,,,,,,"October 19, 2016",,0
Standardization of pathologic evaluation and reporting of postneoadjuvant specimens in clinical trials of breast cancer: recommendations from an international working group,https://www.equator-network.org/reporting-guidelines/standardization-of-pathologic-evaluation-and-reporting-of-postneoadjuvant-specimens-in-clinical-trials-of-breast-cancer-recommendations-from-an-international-working-group/,,"Clinical trials, Experimental studies","Oncology, Pathology",English,Reporting of postneoadjuvant systemic therapy breast cancer specimens,"Intervention (exposure), Procedure/Method, Study characteristics (participants etc.), Terminology/definitions","Provenzano E, Bossuyt V, Viale G, Cameron D, Badve S, Denkert C, MacGrogan G, Penault-Llorca F, Boughey J, Curigliano G, Dixon JM, Esserman L, Fastner G, Kuehn T, Peintinger F, von Minckwitz G, White J, Yang W, Symmans WF; Residual Disease Characterization Working Group of the Breast International Group-North American Breast Cancer Group Collaboration. Standardization of pathologic evaluation and reporting of postneoadjuvant specimens in clinical trials of breast cancer: recommendations from an international working group. Mod Pathol. 2015;28(9):1185-1201.",26205180,,,,,,,,,,,,,,,"October 21, 2016",,0
Reporting Magnetic Resonance Imaging in Men on Active Surveillance for Prostate Cancer: The PRECISE Recommendations -A Report of a European School of Oncology Task Force,https://www.equator-network.org/reporting-guidelines/reporting-magnetic-resonance-imaging-in-men-on-active-surveillance-for-prostate-cancer-the-precise-recommendations-a-report-of-a-european-school-of-oncology-task-force/,PRECISE,Observational studies,"Oncology, Radiology, Urology",English,Reporting of individual MRI studies in men with prostate cancer on active surveillance and for reporting the outcomes of cohorts of men with prostate cancer having MRI on active surveillance,Images,"Moore CM, Giganti F, Albertsen P, Allen C, Bangma C, Briganti A, Carroll P, Haider M, Kasivisvanathan V, Kirkham A, Klotz L, Ouzzane A, Padhani AR, Panebianco V, Pinto P, Puech P, Rannikko A, Renard-Penna R, Touijera K, Turkbey B, van Poppel H, Valdagni R, Walz J, Schoots I. Reporting Magnetic Resonance Imaging in Men on Active Surveillance for Prostate Cancer: The PRECISE Recommendations - A Report of a European School of Oncology Task Force. Eur Urol. 2017;71(4):648-655.",27349615,,,,,,,,,,,,,,,"October 27, 2017",,0
Development and validation of the guideline for reporting evidence-based practice educational interventions and teaching (GREET),https://www.equator-network.org/reporting-guidelines/greet/,GREET,"Clinical trials, Experimental studies, Observational studies, Other, Quality improvement studies, Study protocols",,English,Reporting of educational interventions for evidence-based practice (EBP).,Intervention (exposure),"Phillips AC, Lewis LK, McEvoy MP, Galipeau J, Glasziou P, Moher D, Tilson JK, Williams MT. Development and validation of the guideline for reporting evidence-based practice educational interventions and teaching (GREET). BMC Med Educ. 2016;16(1):237.",27599967,,,,The full-text of this guideline is freely available at: http://bmcmededuc.biomedcentral.com/articles/10.1186/s12909-016-0759-1,Access the GREET explanation and elaboration (E&E) paper (Word).,The GREET explanation and elaboration (E&E) paper is freely available in Japanese at: https://webview.isho.jp/journal/detail/pdf/10.11477/mf.1681201769,,,Read the protocol for the development of the guideline for reporting evidence-based practice educational interventions and teaching (GREET) statement. Read a systematic review conducted to support the GREET guideline development on the topic of how studies describe educational interventions for evidence-based practice: stage 1 of the development of a reporting guideline. Read a report of the Delphi survey conducted to help determine how educational interventions for evidence-based practice should be reported.,,,,,,"November 25, 2024",GREET explanation and elaboration (E&E) paper (Word)|https://static-content.springer.com/esm/art%3A10.1186%2Fs12909-016-0759-1/MediaObjects/12909_2016_759_MOESM2_ESM.docx,0
"METastasis Reporting and Data System for Prostate Cancer: Practical Guidelines for Acquisition, Interpretation, and Reporting of Whole-body Magnetic Resonance Imaging-based Evaluations of Multiorgan Involvement in Advanced Prostate Cancer",https://www.equator-network.org/reporting-guidelines/metastasis-reporting-and-data-system-for-prostate-cancer-practical-guidelines-for-acquisition-interpretation-and-reporting-of-whole-body-magnetic-resonance-imaging-based-evaluations-of-multiorgan-i/,MET-RADS-P,"Clinical trials, Experimental studies","Nuclear medicine, Oncology, Radiology, Urology",English,"To promote standardisation and diminish variations in the acquisition, interpretation, and reporting of whole-body MRI scans for use in advanced prostate cancer",Images,"Padhani AR, Lecouvet FE, Tunariu N, Koh DM, De Keyzer F, Collins DJ, Sala E, Schlemmer HP, Petralia G, Vargas HA, Fanti S, Tombal HB, de Bono J. METastasis Reporting and Data System for Prostate Cancer: Practical Guidelines for Acquisition, Interpretation, and Reporting of Whole-body Magnetic Resonance Imaging-based Evaluations of Multiorgan Involvement in Advanced Prostate Cancer. Eur Urol. 2017;71(1):81-92.",27317091,,,,,,,,,,,,,,,"February 22, 2017",,0
Irreversible Electroporation (IRE) : Standardization of Terminology and Reporting Criteria for Analysis and Comparison,https://www.equator-network.org/reporting-guidelines/irreversible-electroporation-ire-standardization-of-terminology-and-reporting-criteria-for-analysis-and-comparison/,,,"Oncology, Radiology",English,Reporting image-guided irreversible electroporation ablation therapy,"Data, Images, Terminology/definitions","Wendler JJ, Fischbach K, Ricke J, Jürgens J, Fischbach F, Köllermann J, Porsch M, Baumunk D, Schostak M, Liehr UB, Pech M. Irreversible Electroporation (IRE): Standardization of Terminology and Reporting Criteria for Analysis and Comparison. Pol J Radiol. 2016;81:54-64.",26966472,,,,,,,,,,,,,,,"October 20, 2016",,0
Improving the reporting quality of nonrandomized evaluations of behavioral and public health interventions: the TREND statement,https://www.equator-network.org/reporting-guidelines/improving-the-reporting-quality-of-nonrandomized-evaluations-of-behavioral-and-public-health-interventions-the-trend-statement/,TREND,"Clinical trials, Experimental studies, Other","Behavioural medicine, Public health",English,Reporting of intervention evaluation studies using nonrandomized designs TREND Statement TREND checklist,Whole report,"Des Jarlais DC, Lyles C, Crepaz N, Trend Group. Improving the reporting quality of nonrandomized evaluations of behavioral and public health interventions: the TREND statement. Am J Public Health. 2004;94(3):361-366.",14998794,,,,TREND website: https://www.cdc.gov/hivpartners/php/trend-statement/index.html,,,,,,,,,,,"May 30, 2025",,0
Reporting studies on time to diagnosis: proposal of a guideline by an international panel (REST),https://www.equator-network.org/reporting-guidelines/reporting-studies-on-time-to-diagnosis-proposal-of-a-guideline-by-an-international-panel-rest/,REST,Diagnostic and prognostic studies,,English,Reporting studies on time to diagnosis.,Whole report,"Launay E, Cohen JF, Bossuyt PM, Buekens P, Deeks J, Dye T, Feltbower R, Ferrari A, Kramer M, Leeflang M, Moher D, Moons KG, von Elm E, Ravaud P, Chalumeau M. Reporting studies on time to diagnosis: proposal of a guideline by an international panel (REST). BMC Med. 2016;14(1):146.",27677259,,,,,,,,,Read the guideline development summary (PDF). Read a related paper on the quality of reporting of studies evaluating time to diagnosis in paediatrics.,,,,,,"November 26, 2021",guideline development summary (PDF)|https://www.equator-network.org/wp-content/uploads/2009/02/Reporting-studies-on-time-to-diagnosis-summary.pdf,1
The SCARE 2020 Guideline: Updating Consensus Surgical CAse REport (SCARE) Guidelines,https://www.equator-network.org/reporting-guidelines/the-scare-statement-consensus-based-surgical-case-report-guidelines/,SCARE,Observational studies,Surgery,English,Reporting of surgical case reports.,Whole report,"Agha RA, Franchi T, Sohrabi C, Mathew G, Kerwan A; SCARE Group. The SCARE 2020 Guideline: Updating Consensus Surgical CAse REport (SCARE) Guidelines. Int J Surg. 2020:S1743-9191(20)30771-8.",33181358,,,http://www.scareguideline.com/,,,,,"The SCARE Statement was originally published in 2016 and updated in 2018: 2016 Agha RA, Fowler AJ, Saeta A, Barai I, Rajmohan S, Orgill DP; SCARE Group. The SCARE Statement: Consensus-based surgical case report guidelines. Int J Surg. 2016;34:180-186. PMID: 27613565 2018 update Agha RA, Borrelli MR, Farwana R, Koshy K, Fowler A, Orgill DP; SCARE Group. The SCARE 2018 Statement: Updating Consensus Surgical CAse REport (SCARE) Guidelines. Int J Surg. 2018;60:132-136. PMID: 30342279",Read the protocol for the development of this reporting guideline: http://www.sciencedirect.com/science/article/pii/S1743919116001047,,,,,,"November 26, 2021",,0
Using theory of change to design and evaluate public health interventions: a systematic review,https://www.equator-network.org/reporting-guidelines/using-theory-of-change-to-design-and-evaluate-public-health-interventions-a-systematic-review/,,"Clinical trials, Experimental studies, Observational studies, Qualitative research",Public health,English,Reporting of theory of change (ToC) approaches in public health intervention studies.,Procedure/Method,"Breuer E, Lee L, De Silva M, Lund C. Using theory of change to design and evaluate public health interventions: a systematic review. Implement Sci. 2016;11:63.",27153985,,,,The full-text of this reporting guideline is freely available at: http://implementationscience.biomedcentral.com/articles/10.1186/s13012-016-0422-6,,,,,,,,,,,"November 26, 2021",,0
